test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
1,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_abs_0_basic.dot,2,2,Constant,2.,2.
2,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_access$000_0_basic.dot,1,1,Constant,1.,1.
3,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_add_0_basic.dot,4,6,Constant,6.,6.
4,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_adjustScale_0_basic.dot,3,3,Constant,3.,3.
5,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_audit_0_basic.dot,9,11,Constant,11.,11.
6,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_bigDigitLength_0_basic.dot,3,3,Constant,3.,3.
7,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_bigMultiplyPowerTen_0_basic.dot,3,3,Constant,3.,3.
8,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_bigTenToThe_0_basic.dot,5,5,Polynomial,0.5*n,6. + 0.5*n
9,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_byteValueExact_0_basic.dot,2,2,Constant,2.,2.
10,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_checkScale_0_basic.dot,5,7,Constant,7.,7.
11,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_checkScaleNonZero_0_basic.dot,3,3,Constant,3.,3.
12,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_<clinit>_0_basic.dot,3,3,Constant,3.,3.
13,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_compactValFor_0_basic.dot,7,11,Constant,11.,11.
14,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_compareMagnitude_0_basic.dot,17,37,Constant,37.,37.
15,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_compareMagnitudeNormalized_0_basic.dot,2,2,Constant,2.,2.
16,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_compareTo_0_basic.dot,1,1,Constant,1.,1.

                                        5
General::munfl: (-0.809017 - 0.587785 I)  is too small to represent as a normalized machine number; precision may be lost.

                                        5
General::munfl: (-0.809017 + 0.587785 I)  is too small to represent as a normalized machine number; precision may be lost.
17,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_createAndStripZerosToMatchScale_0_basic.dot,5,5,Polynomial,0.8*n,6.15 + 0.8*n
18,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_divide_0_basic.dot,2,2,Constant,2.,2.
19,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_divideAndRemainder_0_basic.dot,2,2,Constant,2.,2.
20,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_divideAndRound_0_basic.dot,6,10,Constant,10.,10.
21,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_divideAndRound128_0_basic.dot,19,649,Exponential,27942.61*1.32^n*n,163. + 0.12*0.87^n + 541509.12*1.32^n + 0.01*0.87^n*n + 27942.61*1.32^n*n
22,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_divideAndRoundByTenPow_0_basic.dot,2,2,Constant,2.,2.
23,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_divideSmallFastPath_0_basic.dot,17,46,Constant,46.,46.
24,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_divideToIntegralValue_0_basic.dot,8,12,Constant,12.,12.
25,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_divWord_0_basic.dot,4,5,Polynomial,0.12*n^2.,4. + 1.25*n + 0.12*n^2.
26,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_doRound_0_basic.dot,7,13,Polynomial,0.17*n^2.,20.439999999999998 + 3.5*n + 0.17*n^2.
27,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_doRound128_0_basic.dot,4,6,Constant,6.,6.
28,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_doubleValue_0_basic.dot,11,23,Constant,23.,23.
29,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_equals_0_basic.dot,9,10,Constant,10.,10.
30,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_expandBigIntegerTenPowers_0_basic.dot,5,6,Polynomial,0.12*n^2.,5. + 1.25*n + 0.12*n^2.
31,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_floatValue_0_basic.dot,11,23,Constant,23.,23.
32,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_getValueString_0_basic.dot,7,8,Polynomial,1.*n,14. + 1.*n
33,../cfgs/java_cfgs/alt-rt/java_math_BigDecimal_hashCode_0_basic.dot,4,5,Constant,5.,5.
